主体,年代
Chair_Rug,Qing dynasty (1644-1911)
Chair_Rug,Qing dynasty (1644-1911)
Crowned_Shakyamuni_Buddha,Ming dynasty (1368-1644)
Lacquered_Table_with_Everted_Flanges,Kangxi period (1662-1722)
Rug,18th century
Vase,Ming dynasty (1368-1644)
Varapala,Song dynasty (960-1279)
Vase,Ming dynasty (1368-1644)
Ceiling_Relief_of_a_Flying_Apsara,ca. 570 C.E.
Buddhist_Stele_with_Scenes_from_the_Lotus_Sutra,ca. 537 C.E.
Samantabhadra_Bodhisattva,Yuan dynasty (1279-1368)
Manjusri_Bodhisattva,Yuan dynasty (1279-1368)
"Shakyamuni_Buddha_Attended_by_Bodhisattvas,_Monks,_and_Apsaras--A_Casing_Slab_from_a_Buddhist_Monument",early 6th century C.E.
"Torso_of_a_Buddha,_probably_Shakyamuni_Buddha",575-600 C.E.
Stele_of_Shakyamuni_Buddha_Attended_by_Guanyin_Bodhisattva_and_Dashizhi_Bodhisattva,569 C.E.
Verdant_Mountains,Song dynasty (960-1279)
Travelers_in_Snow-Covered_Mountains,Five Dynasties (907-960 C.E.)
One_Hundred_Cranes_Imperial_Robe,late 17th-early 18th century
The_Assembly_of_Tejaprabha,early 14th century
Illustration_to_the_Travels_of_Sudhana_from_the_Gandavyuha_of_the_Avatamaska_Sutra,14th century
The_Transformations_of_Laojun,12th century
Tray,2nd century C.E.
Bowl,Song dynasty (960-1279)
Seated_Bodhisattva,ca. 750 C.E.
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Lady's_Coat_Panel,early 18th century
Corner_Bracket_or_Table_Support_in_Animal_Form,2nd century B.C.E.
Pheasant,Qing dynasty (1644-1911)
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Gamester_or_Storyteller,Eastern Han dynasty (25-220 C.E.)
Dog,Han dynasty (206 B.C.E.-220 C.E.)
Warrior,Northern Wei dynasty (386-584 C.E.)
Central_Asian_Falconer,7th century C.E.
Bowl,Song dynasty (960-1279)
Whiling_Away_the_Summer,Yuan dynasty (1279-1368)
Three-storied_Watchtower,Eastern Han dynasty (25-220 C.E.)
"Ceiling_Panels,_China,_Beijing,_Zhihua_Temple",Qing dynasty (1644-1911)
Standing_Guanyin_Bodhisattva,Northern Zhou dynasty (557-581 C.E.)
Dog,Han dynasty (206 B.C.E.-220 C.E.)
Waiting_for_the_Ferry_in_the_Chilly_Mountains,18th century
Model_of_a_Multi-Storied_Tower,1st century C.E.
Torso_of_a_Bodhisattva,late 6th century C.E.
Ornament,Tang dynasty (618-906 C.E.)
Spoon,Han dynasty (206 B.C.E.-220 C.E.)
Surveillance_Commissioner_Zhang_Listens_to_Wind_and_Rain_in_the_Paulownia_Trees,18th century
Small_Vase,Kangxi period (1662-1722)
Palaces_in_Landscape,17th century
Portal_Guardian,ca. 750 C.E.
Figurine,Tang dynasty (618-906 C.E.)
Palace_in_Mountainous_Landscape,Ming dynasty (1368-1644)
Standing_Figure_of_a_Monk,late 7th-early 8th century C.E.
Tomb_Warrior,Northern Wei dynasty (386-534 C.E.)
Lady_with_Bamboo,Qing dynasty (1644-1911)
Cooking_Pot_with_Fish_in_Relief_on_Interior,Han dynasty (206 B.C.E.-220 C.E.)
Garden_Scene_with_Ladies_and_Children,19th century
Water_Coupe,Southern Song dynasty (1127-1279)
Wine_Vessel,Warring States period (480-221 B.C.E.)
Waterspout,Ming dynasty (1368-1644)
Bin,Han dynasty (206 B.C.E.-220 C.E.)
Mill,Eastern Han dynasty (25-220 C.E.)
Tabouret,early 18th century
Ring,19th century
Water_Pot,Northern Song dynasty (960-1127)
Mill,Eastern Han dynasty (25-220 C.E.)
Torso_of_a_Standing_Bodhisattva,late 6th century C.E.
Dish,Song dynasty (960-1279)
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Mountainous_Landscape,1668
Storehouse,Eastern Han dynasty (25-220 C.E.)
Lady_in_the_Library,18th century
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Head_of_a_Bodhisattva,ca. 515-520 C.E.
Guardian_Lion,ca. 681 C.E.
Guanyin_of_the_Southern_Sea,Liao (907-1125) or Jin dynasty (1115-1234)
Scabbard_Finial,Eastern Zhou (770-256 B.C.E.)-Warring States period (480-221 B.C.E.)
Ornament,Tang dynasty (618-906 C.E.)
Kalavinka_Musician,Tang dynasty (618-906 C.E.)
Grain_Yard,2nd century C.E.
Door_Panels_from_a_Temple,Qing dynasty (1644-1911)
Ritual_Libation_Vessel_(gu),12th-11th century B.C.E.
Ritual_Wine_Vessel_(jia),12th-11th century B.C.E.
Torso_of_a_Bodhisattva_(one_of_a_pair),Sui dynasty (581-618 C.E.)
Dog_and_Bamboo,1427
Grain_Mill,Eastern Han dynasty (25-220 C.E.)
Manchu_Hairpin,19th century
Shakyamuni_Buddha,Ming dynasty (1368-1644)
Vase,Eastern Han dynasty (25-220 C.E.)
Mountain_Landscape,16th century
Wine_Cup,Eastern Han dynasty (25-220 C.E.)
Vase,Yongzheng period (1723-1735)
Bowl,Song dynasty (960-1279)
Figure,Han dynasty (206 B.C.E.-220 C.E.)
Shakyamuni_Buddha,Ming dynasty (1368-1644)
Standing_Attendant_Bodhisattva,ca. 725 C.E.
Spatula_Fragment,12th-11th century B.C.E.
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Vase,Eastern Han dynasty (25-220 C.E.)
Pig_Pen_and_Latrine,Han dynasty (206 B.C.E.-220 C.E.)
Kalavinka_Musician,Tang dynasty (618-906 C.E.)
Sheep_Pen,Eastern Han dynasty (25-220 C.E.)
Stand,Han dynasty (206 B.C.E.-220 C.E.)
Ornament,Tang dynasty (618-906 C.E.)
Bust_of_a_Guardian_King,ca. 570-575 C.E.
Figurine,Tang dynasty (618-906 C.E.)
Equestrian_Figure,8th century C.E.
Lampstand,Eastern Han dynasty (25-220 C.E.)
Lamp_or_Socket,Eastern Han dynasty (25-220 C.E.)
Ornament,Tang dynasty (618-906 C.E.)
Pheasants_in_Landscape,Ming dynasty (1368-1644)
Flowers_and_Birds_of_Spring,Ming dynasty (1368-1644)
"Ceiling_Panels,_from_Zhihua_Temple,_Beijing,_China",1736-1796
"Gateway_Tile_from_the_Tomb_Compound_of_Prince_Ding,_a_Son_of_the_Qianlong_Emperor",1750
Reverent_Monk,ca. 570 C.E.
Kalavinka_Musician,Tang dynasty (618-906 C.E.)
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Equestrian_Figure,8th century C.E.
Lady_in_Garden_with_Two_Attendants,18th century
Lady_in_Garden,18th century
Kalavinka_Musician,Tang dynasty (618-906 C.E.)
Lady_Leaning_on_a_Tree,Qing dynasty (1644-1911)
Standing_Attendant_Bodhisattva,ca. 725 C.E.
Bead_Box,Qing dynasty (1644-1911)
Magnolia_Blossoms,Ming dynasty (1368-1644)
Village_in_a_Snowy_Landscape_雪村圖,19th century
Torso_of_a_Bodhisattva_(one_of_a_pair),Sui dynasty (581-618 C.E.)
Listening_to_the_Qin_by_Candlelight,17th century
Portrait_of_Ma_Shiqi_(1650–1714),ca. 1687
Bowl,Southern Song dynasty (1127-1279)
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Warrior,Northern Wei dynasty (386-534 C.E.)
Door_Panels_from_a_Temple,Qing dynasty (1644-1911)
Door_Panels_from_a_Temple,Qing dynasty (1644-1911)
Door_Panels_from_a_Temple,Qing dynasty (1644-1911)
Door_Panels_from_a_Temple,Qing dynasty (1644-1911)
Zoomorphic_Spiral,9th century B.C.E.
Standing_Bodhisattva,ca. 520-525 C.E.
Seated_Maitreya_Buddha,ca. 725 C.E.
Birds_Flying_Near_Waterfall,16th century
Vase_in_the_Form_of_a_Jade_Cong,Southern Song dynasty (1127-1279)
Wine_Cup,Eastern Han dynasty (25-220 C.E.)
Ladle,Eastern Han dynasty (25-220 C.E.)
Portrait_of_the_Emperor_Yung_Cheng,18th century
Inscribed_Oracle_Bone,Shang dynasty (1500-1045 B.C.E.)
Atlantean_Figure_of_a_Winged_Demon,Northern Qi dynasty (550-577 C.E.)
Offering_Procession_of_the_Empress_as_Donor_with_Her_Court,ca. 522 C.E.
Incense_Burner,Eastern Han dynasty (25-220 C.E.)
Jar,Eastern Han dynasty (25-220 C.E.)
Many_Deer,Ming-Qing dynasty (1368-1911)
Inscribed_Oracle_Bone,12th-11th century B.C.E.
Kneeling_Figure,Northern Wei dynasty (386-534 C.E.)
Fragment_of_Maitreya_as_a_Meditating_Bodhisattva,541 C.E.
Head_of_a_Buddha,ca. 490 C.E.
Jar_with_three_cloud-shaped_feet,Qing dynasty (1644-1911)
Chair_Rug,18th century
Pot,Eastern Han dynasty (25-220 C.E.)
Kneeling_Figure,Northern Wei dynasty (386-534 C.E.)
Chair,18th century
Cooking_Stove,Eastern Han dynasty (25-220 C.E.)
Drum-shaped_Stool,Daoguang period (1821-1850)
Ritual_Cooking_Vessel,late 6th century B.C.E.
Drum-shaped_Stool,Daoguang period (1821-1850)
Wine_Vessel,5th century B.C.E.
Temple_Hidden_Among_Lofty_Cliffs,mid-13th century
Landscape,Ming dynasty (1368-1644)
Fishermen's_Evening_Song,ca. 1039-52
Spring_in_the_Mountains,Ming dynasty (1368-1644)
Basket_of_Flowers,probably Qing dynasty (1644-1911)
"Landscape_with_Mountains,_Waterfall_and_Hut_a_Scholar",Ming dynasty (1368-1644)
Two_Men_Presenting_a_Sword,probably Qing dynasty (1644-1911)
Spray_of_Fruit_Tree_with_Bird,Ming dynasty (1368-1644)
Pair_of_Coral_Hairpins,19th century
"Landscape_with_Mountains,_Trees,_and_Water",Ming dynasty (1368-1644)
Ritual_Cooking_Vessel,late 12th-early 11th century B.C.E.
Ritual_Wine_Vessel,12th-11th century B.C.E.
Horse_and_Groom,Ming dynasty (1368-1644)
Ancestor_Portrait_of_a_Court_Lady,possibly Ming dynasty (1368-1644)
Lady's_Coat,early 18th century
River_Landscape,Ming dynasty (1368-1644)
Landscape_with_Figure,Ming dynasty (1368-1644)
"Landscape_with_Mountains,_Trees,_and_Waterfall",Ming dynasty (1368-1644)
Blue_and_Green_Landscape,Ming dynasty (1368-1644)
Figures_in_Court_Yard,Ming dynasty (1368-1644)
Lady_by_a_Lotus_Pond,Qing dynasty (1644-1911)
Dragon_Robe_for_Theater,17th-18th century
Spray_of_Fruit_Tree_and_Bird,Ming dynasty (1368-1644)
Inscribed_Oracle_Bone,12th-11th century B.C.E.
Drum-shaped_Stool,Daoguang period (1821-1850)
"Coffered_Vault_with_Carved_Dragons,_China,_Beijing,_Zhihua_Temple",1444
Buckle,19th century
The_Red_Cliff,Southern Song dynasty (1127-1279)
Illustration_to_the_Second_Prose_Poem_on_the_Red_Cliff,Northern Song dynasty (960-1127)
Lacquered_Throne,Kangxi period (1661-1722)
The_Arhat_Vanavasin,Qing dynasty (1644-1911)
An_Assembly_Field,19th century
